,ball_possession,total_passes,passes_accurate,shots_on_goal,shots_off_goal,total_shots,shots_insidebox,shots_outsidebox,blocked_shots,corner_kicks,goalkeeper_saves,offsides,fouls,yellow_cards,red_cards
ball_possession,1.000,0.591,0.626,0.666,0.600,0.707,0.496,0.405,0.426,0.665,0.154,0.326,0.235,0.253,0.000
total_passes,0.591,1.000,0.985,0.410,0.370,0.623,0.805,0.722,0.714,0.355,0.043,0.206,-0.087,0.061,0.007
passes_accurate,0.626,0.985,1.000,0.455,0.380,0.629,0.772,0.683,0.674,0.371,0.027,0.202,-0.096,0.053,0.008
shots_on_goal,0.666,0.410,0.455,1.000,0.585,0.804,0.558,0.419,0.415,0.627,0.069,0.259,0.092,0.101,-0.019
shots_off_goal,0.600,0.370,0.380,0.585,1.000,0.818,0.539,0.538,0.428,0.603,0.120,0.263,0.179,0.226,0.005
total_shots,0.707,0.623,0.629,0.804,0.818,1.000,0.803,0.733,0.744,0.707,0.094,0.267,0.089,0.143,-0.009
shots_insidebox,0.496,0.805,0.772,0.558,0.539,0.803,1.000,0.739,0.827,0.501,0.017,0.213,-0.045,0.022,-0.007
shots_outsidebox,0.405,0.722,0.683,0.419,0.538,0.733,0.739,1.000,0.798,0.367,0.071,0.167,-0.070,0.102,0.015
blocked_shots,0.426,0.714,0.674,0.415,0.428,0.744,0.827,0.798,1.000,0.470,0.034,0.115,-0.063,0.015,-0.005
corner_kicks,0.665,0.355,0.371,0.627,0.603,0.707,0.501,0.367,0.470,1.000,0.065,0.241,0.129,0.140,-0.016
goalkeeper_saves,0.154,0.043,0.027,0.069,0.120,0.094,0.017,0.071,0.034,0.065,1.000,0.170,0.138,0.273,0.014
offsides,0.326,0.206,0.202,0.259,0.263,0.267,0.213,0.167,0.115,0.241,0.170,1.000,0.088,0.233,0.005
fouls,0.235,-0.087,-0.096,0.092,0.179,0.089,-0.045,-0.070,-0.063,0.129,0.138,0.088,1.000,0.310,0.008
yellow_cards,0.253,0.061,0.053,0.101,0.226,0.143,0.022,0.102,0.015,0.140,0.273,0.233,0.310,1.000,0.040
red_cards,0.000,0.007,0.008,-0.019,0.005,-0.009,-0.007,0.015,-0.005,-0.016,0.014,0.005,0.008,0.040,1.000
