param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
True,90,50,4,10,100,0.4539271095043621,1
True,80,50,4,10,100,0.4519533937887612,2
True,80,50,4,8,100,0.4518494572163749,3
True,80,50,4,10,200,0.45039500618830663,4
True,80,50,4,8,200,0.4501872274700111,5
True,90,50,4,8,200,0.4499794757307091,6
True,80,50,3,10,200,0.4499793543252385,7
True,90,50,4,8,100,0.4495120511791506,8
True,90,50,4,10,200,0.4492002144829982,9
True,90,50,3,8,100,0.44888864757678054,10
True,80,50,3,8,200,0.44873301925288417,11
True,90,50,3,8,200,0.44857690530710526,12
True,80,50,3,8,100,0.4485249707446539,13
True,90,50,3,10,100,0.44816177953441,14
True,90,50,3,10,200,0.4481098314824619,15
True,80,50,3,10,100,0.4474862390271375,16
True,80,10,3,8,100,0.39964716872325284,17
True,80,10,4,10,100,0.399491149203951,18
True,80,10,3,10,200,0.3989718170689347,19
True,80,10,4,10,200,0.398815689633659,20
True,90,10,4,10,100,0.39876418673510333,21
True,90,10,3,10,100,0.3981925153527335,22
True,90,10,4,8,200,0.39782910831054175,23
True,90,10,3,8,100,0.39751736604086646,24
True,80,10,3,10,100,0.39725780114458387,25
True,80,10,3,8,200,0.39689400290698656,26
True,90,10,3,10,200,0.39663453243718105,27
True,90,10,4,10,200,0.39658258438523303,28
True,80,10,4,8,200,0.3965303125853632,29
True,80,10,4,8,100,0.39611507889669406,30
True,90,10,4,8,100,0.39595904588789554,31
True,90,10,3,8,200,0.3949204085968563,32
